"id","weight"
"CCLE.Cluster 2.carcinoma.PECAPJ49_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.PK1_PANCREAS",2
"CCLE.Cluster 2.carcinoma.RERFGC1B_STOMACH",2
"CCLE.Cluster 2.carcinoma.RERFLCAD1_LUNG",2
"CCLE.Cluster 2.carcinoma.RERFLCKJ_LUNG",2
"CCLE.Cluster 2.carcinoma.RERFLCMS_LUNG",2
"CCLE.Cluster 2.carcinoma.RL952_ENDOMETRIUM",2
"CCLE.Cluster 2.carcinoma.RMGI_OVARY",2
"CCLE.Cluster 2.carcinoma.RMUGS_OVARY",2
"CCLE.Cluster 2.carcinoma.RT112_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.RT4_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.SCC4_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.SKBR3_BREAST",2
"CCLE.Cluster 2.carcinoma.SKOV3_OVARY",2
"CCLE.Cluster 2.carcinoma.SNU1040_LARGE_INTESTINE",2
"CCLE.Cluster 2.carcinoma.SNU1076_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.SNU119_OVARY",2
"CCLE.Cluster 2.carcinoma.SNU1214_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.SNU213_PANCREAS",2
"CCLE.Cluster 2.carcinoma.SNU216_STOMACH",2
"CCLE.Cluster 2.carcinoma.SNU308_BILIARY_TRACT",2
"CCLE.Cluster 2.carcinoma.SNU410_PANCREAS",2
"CCLE.Cluster 2.carcinoma.SNU46_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.SNU478_BILIARY_TRACT",2
"CCLE.Cluster 2.carcinoma.SNU503_LARGE_INTESTINE",2
"CCLE.Cluster 2.carcinoma.SNU668_STOMACH",2
"CCLE.Cluster 2.carcinoma.SNU840_OVARY",2
"CCLE.Cluster 2.carcinoma.SNU869_BILIARY_TRACT",2
"CCLE.Cluster 2.carcinoma.SNU899_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.SNUC2A_LARGE_INTESTINE",2
"CCLE.Cluster 2.carcinoma.SQ1_LUNG",2
"CCLE.Cluster 2.carcinoma.SU8686_PANCREAS",2
"CCLE.Cluster 2.carcinoma.SUIT2_PANCREAS",2
"CCLE.Cluster 2.carcinoma.SW1990_PANCREAS",2
"CCLE.Cluster 2.carcinoma.SW780_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.SW900_LUNG",2
"CCLE.Cluster 2.carcinoma.T3M10_LUNG",2
"CCLE.Cluster 2.carcinoma.T3M4_PANCREAS",2
"CCLE.Cluster 2.carcinoma.T47D_BREAST",2
"CCLE.Cluster 2.carcinoma.TCCPAN2_PANCREAS",2
"CCLE.Cluster 2.carcinoma.TE10_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE11_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE14_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE15_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE1_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE4_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE5_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE6_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE8_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TE9_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.TEN_ENDOMETRIUM",2
"CCLE.Cluster 2.NA.TT_OESOPHAGUS",2
"CCLE.Cluster 2.carcinoma.UACC893_BREAST",2
"CCLE.Cluster 2.carcinoma.UBLC1_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.UMUC1_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.VMCUB1_URINARY_TRACT",2
"CCLE.Cluster 2.carcinoma.YAPC_PANCREAS",2
"CCLE.Cluster 2.carcinoma.YD15_SALIVARY_GLAND",2
"CCLE.Cluster 2.carcinoma.YD38_UPPER_AERODIGESTIVE_TRACT",2
"CCLE.Cluster 2.carcinoma.ZR751_BREAST",2
"CCLE.Cluster 2.carcinoma.ZR7530_BREAST",2
"CCLE.Cluster 3.glioma.42MGBA_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.carcinoma.769P_KIDNEY",3
"CCLE.Cluster 3.carcinoma.786O_KIDNEY",3
"CCLE.Cluster 3.carcinoma.8305C_THYROID",3
"CCLE.Cluster 3.carcinoma.8505C_THYROID",3
"CCLE.Cluster 3.glioma.8MGBA_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.A172_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.carcinoma.ACHN_KIDNEY",3
"CCLE.Cluster 3.carcinoma.BCPAP_THYROID",3
"CCLE.Cluster 3.carcinoma.BFTC909_KIDNEY",3
"CCLE.Cluster 3.carcinoma.BT549_BREAST",3
"CCLE.Cluster 3.carcinoma.CAKI1_KIDNEY",3
"CCLE.Cluster 3.carcinoma.CALU1_LUNG",3
"CCLE.Cluster 3.glioma.CCFSTTG1_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.primitive_neuroectodermal_tumour-medulloblastoma.DAOY_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.DBTRG05MG_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.DKMG_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.carcinoma.ESS1_ENDOMETRIUM",3
"CCLE.Cluster 3.carcinoma.FTC133_THYROID",3
"CCLE.Cluster 3.carcinoma.FTC238_THYROID",3
"CCLE.Cluster 3.osteosarcoma.G292CLONEA141B1_BONE",3
"CCLE.Cluster 3.glioma.GAMG_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.GB1_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.GI1_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.GMS10_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.carcinoma.HCC1359_LUNG",3
"CCLE.Cluster 3.carcinoma.HCC2108_LUNG",3
"CCLE.Cluster 3.lymphoid_neoplasm.HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",3
"CCLE.Cluster 3.carcinoma.HLFA_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HOP92_LUNG",3
"CCLE.Cluster 3.carcinoma.HS229T_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HS281T_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HS343T_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HS578T_BREAST",3
"CCLE.Cluster 3.carcinoma.HS606T_FIBROBLAST",3
"CCLE.Cluster 3.lymphoid_neoplasm.HS616T_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HS618T_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HS675T_FIBROBLAST",3
"CCLE.Cluster 3.glioma.HS683_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.malignant_melanoma.HS688AT_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HS698T_FIBROBLAST",3
"CCLE.Cluster 3.giant_cell_tumour.HS706T_BONE",3
"CCLE.Cluster 3.rhabdomyosarcoma.HS729_SOFT_TISSUE",3
"CCLE.Cluster 3.carcinoma.HS746T_STOMACH",3
"CCLE.Cluster 3.lymphoid_neoplasm.HS751T_FIBROBLAST",3
"CCLE.Cluster 3.giant_cell_tumour.HS821T_FIBROBLAST",3
"CCLE.Cluster 3.malignant_melanoma.HS839T_FIBROBLAST",3
"CCLE.Cluster 3.osteosarcoma.HS870T_FIBROBLAST",3
"CCLE.Cluster 3.osteosarcoma.HS888T_FIBROBLAST",3
"CCLE.Cluster 3.malignant_melanoma.HS934T_FIBROBLAST",3
"CCLE.Cluster 3.malignant_melanoma.HS940T_FIBROBLAST",3
"CCLE.Cluster 3.carcinoma.HUH28_BILIARY_TRACT",3
"CCLE.Cluster 3.mesothelioma.ISTMES2_PLEURA",3
"CCLE.Cluster 3.carcinoma.JHOM1_OVARY",3
"CCLE.Cluster 3.mesothelioma.JL1_PLEURA",3
"CCLE.Cluster 3.carcinoma.JMSU1_URINARY_TRACT",3
"CCLE.Cluster 3.glioma.KALS1_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.carcinoma.KMRC1_KIDNEY",3
"CCLE.Cluster 3.carcinoma.KMRC20_KIDNEY",3
"CCLE.Cluster 3.carcinoma.KMRC3_KIDNEY",3
"CCLE.Cluster 3.glioma.KNS60_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.glioma.KNS81_CENTRAL_NERVOUS_SYSTEM",3
"CCLE.Cluster 3.neuroblastoma.KPNSI9S_AUTONOMIC_GANGLIA",3
"CCLE.Cluster 3.carcinoma.LCLC103H_LUNG",3
"CCLE.Cluster 3.carcinoma.LMSU_STOMACH",3
"CCLE.Cluster 3.carcinoma.LOUNH91_LUNG",3
